,Account,Win Rate (%)
0,0x083384f897ee0f19899168e3b1bec365f52a9012,35.961236249345205
1,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,44.30314041007007
2,0x271b280974205ca63b716753467d5a371de622ab,43.019197207678886
3,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,43.81124679632143
4,0x2c229d22b100a7beb69122eed721cee9b24011dd,51.978973407544835
5,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,29.497568881685577
6,0x39cef799f8b69da1995852eea189df24eb5cae3c,32.76678740596267
7,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,47.59036144578313
8,0x420ab45e0bd8863569a5efbb9c05d91f40624641,23.49869451697128
9,0x430f09841d65beb3f27765503d0f850b8bce7713,56.99333967649858
10,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,35.33573141486811
11,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,48.86308659893566
12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,35.847038374114184
13,0x513b8629fe877bb581bf244e326a047b249c4ff1,40.016666666666666
14,0x6d6a4b953f202f8df5bed40692e7fd865318264a,49.148418491484186
15,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,45.326278659611994
16,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,28.276877761413843
17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,80.93428699150648
18,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,45.10939510939511
19,0x8170715b3b381dffb7062c0298972d4727a0a63b,28.622598502116574
20,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,33.13577586206897
21,0x8477e447846c758f5a675856001ea72298fd9cb5,31.624465049928673
22,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,30.920114122681884
23,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,35.083426028921025
24,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,57.31414868105516
25,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,41.39784946236559
26,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,32.20973782771536
27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,34.073560027758504
28,0xb899e522b5715391ae1d4f137653e7906c5e2115,43.861099627945435
29,0xbaaaf6571ab7d571043ff1e313a9609a10637864,46.753185464841906
30,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,34.866828087167065
31,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,43.47457163190453
