date,Account,Closed PnL
2023-03-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0
2023-11-14,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0
2023-11-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,155.50335699999994
2024-03-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-5564.01614
2024-03-09,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0
2024-03-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-7919.471032000002
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,187842.08419
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2606.8947559999997
2024-07-03,0x271b280974205ca63b716753467d5a371de622ab,-1.0
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,215.754798
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,145563.448374
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-25991.506339
2024-07-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,0.16271999999999998
2024-07-03,0x8477e447846c758f5a675856001ea72298fd9cb5,-9125.157325
2024-07-03,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-14505.50575
2024-07-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,62586.1816
2024-10-27,0x083384f897ee0f19899168e3b1bec365f52a9012,-327505.900056
2024-10-27,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,20607.446093000002
2024-10-27,0x271b280974205ca63b716753467d5a371de622ab,1793.1602149999999
2024-10-27,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,121880.386016
2024-10-27,0x2c229d22b100a7beb69122eed721cee9b24011dd,52215.729448
2024-10-27,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,36993.371011
2024-10-27,0x39cef799f8b69da1995852eea189df24eb5cae3c,34983.381862
2024-10-27,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,7612.618288
2024-10-27,0x420ab45e0bd8863569a5efbb9c05d91f40624641,16102.56859
2024-10-27,0x430f09841d65beb3f27765503d0f850b8bce7713,160450.518105
2024-10-27,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,69282.42904
2024-10-27,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,61076.167808
