date,Account,Closed PnL
2025-02-19,0x420ab45e0bd8863569a5efbb9c05d91f40624641,183403.024142
2025-02-19,0x430f09841d65beb3f27765503d0f850b8bce7713,110527.905862
2025-02-19,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,32683.214094
2025-02-19,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,613327.827224
2025-02-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,223968.37089299998
2025-02-19,0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.648209
2025-02-19,0x6d6a4b953f202f8df5bed40692e7fd865318264a,6979.340871
2025-02-19,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,98269.195073
2025-02-19,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,341945.434741
2025-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,136208.043913
2025-02-19,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.443047
2025-02-19,0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.792847
2025-02-19,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64510.169958
2025-02-19,0x8477e447846c758f5a675856001ea72298fd9cb5,46257.358187
2025-02-19,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,100502.420808
2025-02-19,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,40314.808014
2025-02-19,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,19451.742477
2025-02-19,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,8751.751449
2025-02-19,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21703.816512999998
2025-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,553818.000465
2025-02-19,0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821
2025-02-19,0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.212682
2025-02-19,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,325441.97721599997
2025-02-19,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,126967.976166
